"EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	FATALITIES	latlong"
"12/03/2016	2016	1	Violence against civilians	37	Central African Republic	Ouham	Batangafo	7.30099	18.28514	1	1	""7.300987,18.285135"""
"14/03/2016	2016	1	Strategic development	13	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"14/03/2016	2016	1	Strategic development	17	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"14/03/2016	2016	1	Violence against civilians	37	Central African Republic	Ouham	Batangafo	7.30099	18.28514	1	1	""7.300987,18.285135"""
"15/03/2016	2016	1	Battle-No change of territory	13	Central African Republic	Bangui	Bangui	4.37038	18.539450	1	0	""4.37038,18.53945"""
"15/03/2016	2016	3	Violence against civilians	78	Central African Republic	Kemo	Sibut	5.72748	19.08194	3	0	""5.727482,19.081939"""
"17/03/2016	2016	1	Strategic development	38	Central African Republic	Bangui	Bangui	4.36197	18.58664	3	0	""4.361967,18.586637"""
"21/03/2016	2016	1	Riots/Protests	15	Central African Republic	Bangui	Bangui	4.37038	18.53945	1	0	""4.37038,18.53945"""
"23/03/2016	2016	1	Violence against civilians	37	Central African Republic	Bangui	Bangui	4.37038	18.53945	1	0	""4.37038,18.53945"""
"25/03/2016	2016	1	Violence against civilians	47	Central African Republic	Nana-Gribizi	Kaga-Bandoro	6.99038	19.19154	1	1	""6.990379,19.191543"""
