EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
22/05/2015	2015	1	Battle-No change of territory	13	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Xinhua General News Service; Agence France Presse - English; Agence France Presse	0	"-3.4158,29.375"
22/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Rural	Ijenda	-3.47210	29.58230	1	Agence France Presse - English; Agence France Presse	0	"-3.4721,29.5823"
22/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Rural	Mukike	-3.52500	29.51389	1	Agence France Presse - English; Agence France Presse	0	"-3.525,29.513889"
22/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse - English; Agence France Presse	0	"-3.3363,29.3788"
22/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Agence France Presse - English; Agence France Presse	0	"-3.3527,29.37"
22/05/2015	2015	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua General News Service; Agence France Presse - English; Agence France Presse	2	"-3.3772,29.358"
23/05/2015	2015	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse - English; Radio France Internationale; Associated Press International	2	"-3.3772,29.358"
24/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Associated Press International	0	"-3.3772,29.358"
25/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Xinhua General News Service; Agence France Presse	0	"-3.4156,29.4075"
25/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41780	29.36690	1	Xinhua General News Service; News24 (Cape Town); Agence France Presse - English; Agence France Presse	0	"-3.4178,29.3669"
25/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Xinhua General News Service; News24 (Cape Town); Agence France Presse - English; Agence France Presse	0	"-3.4158,29.375"
25/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Xinhua General News Service; News24 (Cape Town); Agence France Presse - English; Agence France Presse	0	"-3.3527,29.37"
25/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Xinhua General News Service; News24 (Cape Town); Agence France Presse - English; Agence France Presse	0	"-3.3733,29.3767"
25/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	Agence France Presse	0	"-3.3408,29.3603"
25/05/2015	2015	1	Riots/Protests	50	Burundi	Bururi	Matana	-3.75390	29.66830	1	Xinhua General News Service	0	"-3.7539,29.6683"
25/05/2015	2015	1	Riots/Protests	50	Burundi	Bururi	Vyanda	-4.10584	29.60627	1	Xinhua General News Service	0	"-4.105835,29.606266"
25/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse - English; Agence France Presse	0	"-3.3363,29.3788"
25/05/2015	2015	1	Violence against civilians	16	Burundi	Bujumbura Mairie	Bwiza	-3.37250	29.36500	1	Agence France Presse	0	"-3.3725,29.365"
25/05/2015	2015	1	Violence against civilians	36	Burundi	Bujumbura Mairie	Kinama	-3.33440	29.37750	1	Agence France Presse; Radio France Internationale	0	"-3.3344,29.3775"
25/05/2015	2015	1	Violence against civilians	16	Burundi	Bururi	Mugamba	-3.66670	29.58610	1	Xinhua General News Service; Agence France Presse; Xinhua News Agency - French	1	"-3.6667,29.5861"
26/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Rural	Muhuta	-3.62720	29.34720	1	Agence France Presse; Rwanda News Agency	1	"-3.6272,29.3472"
26/05/2015	2015	1	Riots/Protests	50	Burundi	Mwaro	Gisozi	-3.51520	29.58810	1	Xinhua News Agency - French	0	"-3.5152,29.5881"
26/05/2015	2015	1	Riots/Protests	35	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse	1	"-3.3363,29.3788"
27/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	Agence France Presse	0	"-3.406532,29.354208"
27/05/2015	2015	1	Riots/Protests	15	Burundi	Mwaro	Rusaka	-3.41500	29.59440	1	Xinhua News Agency - French	0	"-3.415,29.5944"
27/05/2015	2015	1	Riots/Protests	50	Burundi	Mwaro	Kayokwe	-3.50470	29.71830	1	Xinhua News Agency - French	0	"-3.5047,29.7183"
27/05/2015	2015	1	Riots/Protests	35	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse	0	"-3.3363,29.3788"
27/05/2015	2015	1	Riots/Protests	35	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	Agence France Presse	0	"-3.3333,29.3333"
27/05/2015	2015	1	Violence against civilians	16	Burundi	Bururi	Matana	-3.75390	29.66830	1	Xinhua General News Service	1	"-3.7539,29.6683"
